key,ES,EN,FR
r_systolic,sistólica,systolic,systolique
r_wines,vinos,wines,vins
r_wines,1 vino ,1 wine,1 vin 
r_year,año,year,année
r_years,años,years,années
reset_button,Restaurar,Reset,Remise à zéro
results,Resultados,Results,Résultats
retinopathy,Retinopatía,Retinopathy,Rétinopathie
spirits,licor,spirits,licor
stroke,Accidente cerebrovascular,Stroke,Accident vasculaire cérébral
submit_button,Tarificación,Calculate,Tarif
suffered_pathologies,¿Ha padecido alguna de las siguiente patologías?,Have you suffered from any of the following pathologies?,Avez-vous souffert d'une des pathologies suivantes ?
systolic,sistólica,systolic,systolique
systolicModalSetup_High_content,La tensión sistólica es muy alta para asegurar el riesgo.,Systolic blood pressure is too high to ensure risk.,La pression systolique est trop élevée pour garantir le risque.
systolicModalSetup_Low_content,La tensión sistólica es muy baja para asegurar el riesgo.,Systolic blood pressure is too low to ensure risk.,La pression systolique est trop basse pour garantir le risque.
t1,tipo 1,type I,type 1
t2,tipo 2,type II,type 2
tobacco_daily_consumption,Consumo diario,Daily consumption,Consommation journalière
tr_age,Edad candidato,Candidate age,Âge du candidat
tr_alcohol,Alcohol,Alcohol,Alcool
tr_bmi,IMC,BMI,IMC
tr_cholesterol,Colesterol,Cholesterol,Cholestérol
tr_diabetes,Antigüedad diabetes,Age of diabetes,Diabète âge
tr_hemoglobin,Hemoglobina,Hemoglobin,Hémoglobine
tr_insulin,Insulina,Insulin,Insuline
tr_tension,Tensión,Tension,Pression artérielle
tr_tobacco,Tabaco,Tobacco,Tabac
type_I,Tipo I,Type I,Type I
type_II,Tipo II,Type II,Type II
upper_alcohol,Alcohol,Alcohol,Alcool
upper_beers,Cervezas,Beers,Bières
upper_blood_pressure,Tensión arterial,Blood pressure,Pression artérielle
upper_cholesterol,Colesterol total,Total cholesterol,Cholestérol total
upper_cigarettes,Cigarrilos,Cigarettes,Cigarettes
upper_cigars,Puros,Cigars,Cigares
upper_glycosylated,Hemoglobina glicosilada (HbA1c),Glycosylated Hemoglobin (HbA1c),Hémoglobine glycosylée (HbA1c)
upper_insulin,Insulina,Insulin,Insuline
upper_pipes,Pipas,Pipes,Pipes
upper_spirits,Licores,Spirits,Liqueurs
upper_tobacco,Tabaco,Tobacco,Tabac
upper_wines,Vinos,Wines,Vins
upper-diastolic,Diastólica,Diastolic,Diastolique
upper-systolic,Sistólica,Systolic,Systolique
weight_kg,Peso (kg),Weight (kg),Poids (kg)
weightModalSetup_1_content,El peso introducido es muy bajo. Debe introducir un peso mayor de,The entered weight is too low. You must enter a weight greater than,Le poids saisi est trop faible. Vous devez saisir un poids supérieur à
weightModalSetup_2_content,kilos,kilos,kilos
weigth,peso,weigth,poids
wines,vino,wines,vin
woman,Mujer,Woman,Femme
years_diagnosis,Años desde diagnóstico:,Years since diagnosis:,Nombre d'années depuis le diagnostic :
yearsDiabetes,años de tratamiento de diabetes,years of diabetes treatment,années de traitement du diabète
